id	name	area_sqkm	center_lat	center_lng	lg_code	province_id	district_id	dsd_id	ed_id	pd_id
LK-53-038	Seruvila PS	293.32	8.287808	81.25641	38	LK-5	LK-53	LK-5330	EC-14	EC-14A
LK-53-039	Thambalagamuwa PS	274.19	8.509573	81.042854	39	LK-5	LK-53	LK-5318	EC-14	
LK-53-040	Trincomalee Town and Gravets  PS	115.79	8.583752	81.168726	40	LK-5	LK-53	LK-5315	EC-14	EC-14B
LK-53-041	Verugal PS	90.54	8.318232	81.363485	41	LK-5	LK-53	LK-5333	EC-14	EC-14A
LK-61-011	Kurunegala MC	11.14	7.487294	80.364933	11	LK-6	LK-61	LK-6154	EC-15	EC-15L
LK-61-021	Kuliyapitiya UC/ Kuliyapitiya PS	4.55	7.469177	80.03641	21/37	LK-6	LK-61	LK-6172	EC-15	EC-15I
LK-61-031	Alawwa PS	130.25	7.32858	80.217429	31	LK-6	LK-61	LK-6184	EC-15	EC-15J
LK-61-032	Bingiriya PS	193.62	7.607565	79.968083	32	LK-6	LK-61	LK-6142	EC-15	EC-15G
LK-61-033	Galgamuwa PS	444.72	7.998266	80.298164	33	LK-6	LK-61		EC-15	EC-15A
LK-61-034	Giribawa PS	205.37	8.103672	80.183754	34	LK-6	LK-61	LK-6103	EC-15	EC-15A
LK-61-035	Ibbagamuwa PS	367.43	7.633648	80.430185	35	LK-6	LK-61		EC-15	EC-15D
LK-61-036	Kobeigane PS	130.28	7.684376	80.100321	36	LK-6	LK-61	LK-6139	EC-15	EC-15B
LK-61-037	Kuliyapitiya PS	274.72	7.471199	80.102369	37	LK-6	LK-61		EC-15	EC-15I
LK-61-038	Kurunegala PS	232.17	7.511441	80.357635	38	LK-6	LK-61		EC-15	
LK-61-039	Maho PS	401.73	7.841195	80.267615	39	LK-6	LK-61		EC-15	EC-15C
LK-61-040	Mawathagama PS	108.43	7.424469	80.444918	40	LK-6	LK-61	LK-6160	EC-15	EC-15M
LK-61-041	Nikaweratiya PS	465.44	7.80567	80.104616	41	LK-6	LK-61		EC-15	EC-15B
LK-61-042	Panduwasnuwara PS	283.47	7.584134	80.101591	42	LK-6	LK-61		EC-15	EC-15F
LK-61-043	Pannala PS	282.22	7.362153	80.030535	43	LK-6	LK-61	LK-6178	EC-15	EC-15H
LK-61-044	Polgahawela PS	188.4	7.419139	80.291174	44	LK-6	LK-61		EC-15	EC-15K
LK-61-045	Polpithigama PS	415.64	7.803271	80.428893	45	LK-6	LK-61	LK-6127	EC-15	
LK-61-046	Rideegama PS	225.15	7.517219	80.518459	46	LK-6	LK-61	LK-6163	EC-15	EC-15N
LK-61-047	Wariyapola PS	312.53	7.621927	80.244165	47	LK-6	LK-61		EC-15	EC-15E
LK-61-048	Udubaddawa PS	119.9	7.480501	79.947547	48	LK-6	LK-61	LK-6175	EC-15	EC-15G
LK-61-049	Narammala PS	108.53	7.397099	80.193118	49	LK-6	LK-61	LK-6181	EC-15	EC-15J
LK-62-011	Puttalam MC	23.51	8.033618	79.847591	11	LK-6	LK-62	LK-6215	EC-16	EC-16A
LK-62-021	Chilaw UC	6.53	7.581366	79.793511	21	LK-6	LK-62	LK-6233	EC-16	EC-16C
LK-62-031	Anamaduwa PS	528.15	7.853184	79.956619	31	LK-6	LK-62		EC-16	EC-16B
LK-62-032	Arachchikattuwa PS	213.46	7.697364	79.852802	32	LK-6	LK-62		EC-16	
LK-62-033	Chilaw PS	179.38	7.547642	79.853315	33	LK-6	LK-62		EC-16	EC-16C
LK-62-034	Kalpitiya PS	253.75	8.037997	79.757327	34	LK-6	LK-62		EC-16	EC-16A
LK-62-035	Karuwalagaswewa PS	499.76	8.119648	79.999768	35	LK-6	LK-62	LK-6209	EC-16	EC-16B
LK-62-036	Nattandiya PS	150.97	7.424983	79.862933	36	LK-6	LK-62		EC-16	EC-16D
LK-62-037	Nawagattegama PS	171.5	8.013076	80.088937	37	LK-6	LK-62	LK-6212	EC-16	EC-16B
LK-62-038	Puttalam PS	251.5	7.96573	79.85345	38	LK-6	LK-62		EC-16	
LK-62-039	Vanathawilluwa PS	737.44	8.340926	79.896228	39	LK-6	LK-62	LK-6206	EC-16	
LK-62-040	Wennappuwa PS	117.92	7.321939	79.887929	40	LK-6	LK-62		EC-16	EC-16E
LK-71-011	Anuradhapura MC/ Nuwaragam Palatha Central PS	61.81	8.33876	80.406469	11/41	LK-7	LK-71		EC-17	
LK-71-031	Galenbindunuwewa PS	292.54	8.268046	80.708793	31	LK-7	LK-71	LK-7127	EC-17	
LK-71-032	Galnewa PS	138.58	8.019713	80.450037	32	LK-7	LK-71	LK-7163	EC-17	EC-17E
LK-71-033	Horowpothana PS	832.95	8.5158	80.852802	33	LK-7	LK-71	LK-7124	EC-17	EC-17B
LK-71-034	Ipalogama PS	141.67	8.085235	80.507736	34	LK-7	LK-71	LK-7160	EC-17	
LK-71-035	Kahatagasdigiliya PS	370.25	8.423981	80.711353	35	LK-7	LK-71	LK-7121	EC-17	
LK-71-036	Kebithigollewa PS	613.68	8.712242	80.715528	36	LK-7	LK-71	LK-7106	EC-17	EC-17A
LK-71-037	Kekirawa PS	552.37	8.06761	80.659488	37	LK-7	LK-71		EC-17	
LK-71-038	Medawachchiya PS	489.19	8.588785	80.496936	38	LK-7	LK-71	LK-7109	EC-17	EC-17A
LK-71-039	Mihinthale PS	226.79	8.348944	80.545733	39	LK-7	LK-71	LK-7130	EC-17	
LK-71-040	Nochchiyagama PS	838.29	8.333933	80.125586	40	LK-7	LK-71	LK-7139	EC-17	EC-17D
LK-71-041	Nuwaragam Palatha Central PS	987.69	8.497419	80.237628	41	LK-7	LK-71		EC-17	
LK-71-042	Nuwaragam Palatha East PS	145.8	8.276082	80.427202	42	LK-7	LK-71		EC-17	EC-17C
LK-71-043	Padaviya PS	247.26	8.84868	80.78417	43	LK-7	LK-71	LK-7103	EC-17	EC-17A
LK-71-044	Palagala PS	225.47	7.90556	80.537532	44	LK-7	LK-71	LK-7166	EC-17	EC-17G
LK-71-045	Rajanganaya PS	105.84	8.185818	80.180922	45	LK-7	LK-71	LK-7142	EC-17	EC-17E
LK-71-046	Rambewa PS	306.11	8.475597	80.550939	46	LK-7	LK-71	LK-7118	EC-17	
LK-71-047	Thalawa PS	342.09	8.174185	80.359337	47	LK-7	LK-71		EC-17	
LK-71-048	Nuwaragam Palatha East PS	299.91	8.209425	80.550501	48	LK-7	LK-71		EC-17	EC-17F
LK-72-011	Polonnaruwa MC	32.57	7.940122	81.010274	11	LK-7	LK-72	LK-7215	EC-18	EC-18C
LK-72-031	Dimbulagala PS	585.9	7.785366	81.126323	31	LK-7	LK-72	LK-7212	EC-18	EC-18C
LK-72-032	Elahera PS	366.09	7.815875	80.845529	32	LK-7	LK-72	LK-7218	EC-18	EC-18A
LK-72-033	Hingurakgoda PS	705.23	8.114004	80.865402	33	LK-7	LK-72	LK-7203	EC-18	EC-18A
LK-72-034	Lankapura PS	197.47	8.058699	81.098071	34	LK-7	LK-72	LK-7209	EC-18	EC-18B
LK-72-035	Medirigiriya PS	573.26	8.185489	81.040095	35	LK-7	LK-72	LK-7206	EC-18	EC-18B
LK-72-037	Welikanda PS	574.33	8.05135	81.240046	37	LK-7	LK-72	LK-7210	EC-18	EC-18C
LK-72-038	Polonnaruwa PS	434.88	7.878585	80.988593	38	LK-7	LK-72	LK-7215	EC-18	EC-18C
LK-81-011	Badulla MC	10.4	6.989484	81.057946	11	LK-8	LK-81	LK-8121	EC-19	EC-19D
LK-81-012	Bandarawela MC/ Bandarawela  PS	23.05	6.840506	80.985134	12/32	LK-8	LK-81		EC-19	EC-19H
LK-81-022	Haputale  UC/ Haputale  PS	12.4	6.781026	80.959263	22/36	LK-8	LK-81	LK-8139	EC-19	EC-19I
LK-81-031	Badulla PS	38.45	6.986654	81.094656	31	LK-8	LK-81	LK-8121	EC-19	EC-19D
LK-81-032	Bandarawela  PS	49.91	6.825827	81.018879	32	LK-8	LK-81	LK-8133	EC-19	EC-19H
LK-81-033	Ella  PS	107.55	6.868532	81.066957	33	LK-8	LK-81	LK-8136	EC-19	EC-19H
LK-81-034	Haldummulla  PS	415.17	6.698806	80.969558	34	LK-8	LK-81	LK-8142	EC-19	EC-19I
LK-81-035	Hali-Ela  PS	170.05	6.94587	81.019408	35	LK-8	LK-81	LK-8124	EC-19	EC-19E
LK-81-036	Haputale  PS	56.64	6.794815	80.962768	36	LK-8	LK-81	LK-8139	EC-19	EC-19I
LK-81-037	Kandaketiya PS	150.72	7.129609	80.994256	37	LK-8	LK-81	LK-8112	EC-19	EC-19B
LK-81-038	Mahiyanganaya PS	601.88	7.43385	81.081405	38	LK-8	LK-81	LK-8103	EC-19	EC-19A
LK-81-039	Meegahaivula PS	108.82	7.126719	81.081054	39	LK-8	LK-81	LK-8109	EC-19	EC-19B
LK-81-040	Passara PS	134.59	6.964933	81.147248	40	LK-8	LK-81	LK-8118	EC-19	EC-19C
LK-81-041	Rideemaliyadda PS	437.14	7.274411	81.128186	41	LK-8	LK-81	LK-8106	EC-19	EC-19A
LK-81-042	Soranathota PS	80.5	7.045305	81.050182	42	LK-8	LK-81	LK-8115	EC-19	EC-19B
LK-81-043	Uva Paranagama  PS	137.69	6.966467	80.917273	43	LK-8	LK-81	LK-8127	EC-19	EC-19F
LK-81-044	Welimada  PS	194.0	6.860252	80.880744	44	LK-8	LK-81	LK-8130	EC-19	EC-19G
LK-81-045	Lunugala PS	143.01	7.037966	81.186128	45	LK-8	LK-81	LK-8119	EC-19	EC-19C
LK-82-031	Badalkumbura PS	237.09	6.869729	81.216912	31	LK-8	LK-82	LK-8218	EC-20	EC-20B
LK-82-032	Bibila PS	466.05	7.187842	81.298497	32	LK-8	LK-82	LK-8203	EC-20	EC-20A
LK-82-033	Buttala PS	709.86	6.660368	81.299812	33	LK-8	LK-82	LK-8224	EC-20	EC-20C
LK-82-034	Katharagama PS	609.08	6.494507	81.373695	34	LK-8	LK-82	LK-8227	EC-20	EC-20C
LK-82-035	Madulla PS	750.32	7.160153	81.426163	35	LK-8	LK-82	LK-8206	EC-20	EC-20A
LK-82-036	Medagama PS	240.35	7.053049	81.292941	36	LK-8	LK-82	LK-8209	EC-20	EC-20A
LK-82-037	Moneragala PS	290.52	6.832233	81.353268	37	LK-8	LK-82	LK-8215	EC-20	EC-20B
LK-82-038	Siyambalanduwa PS	1059.94	6.845567	81.525567	38	LK-8	LK-82	LK-8212	EC-20	EC-20B
LK-82-039	Thanamalvila PS	819.84	6.473626	80.979827	39	LK-8	LK-82		EC-20	EC-20C
LK-82-040	Wellawaya PS	574.94	6.612619	81.127975	40	LK-8	LK-82	LK-8221	EC-20	EC-20C
LK-91-011	Ratnapura MC/ Ratnapura PS	36.65	6.687164	80.411703	11/42	LK-9	LK-91		EC-21	
LK-91-021	Balangoda UC/ Imbulpe PS	39.21	6.643726	80.68826	21/36	LK-9	LK-91		EC-21	EC-21D
LK-91-022	Embilipitiya UC	54.82	6.326504	80.859512	22	LK-9	LK-91	LK-9148	EC-21	EC-21H
LK-91-032	Ayagama PS	163.35	6.650948	80.291308	32	LK-9	LK-91	LK-9130	EC-21	EC-21G
LK-91-033	Balangoda PS	244.24	6.626862	80.779359	33	LK-9	LK-91		EC-21	EC-21D
LK-91-034	Eheliyagoda PS	140.97	6.838464	80.22653	34	LK-9	LK-91	LK-9103	EC-21	EC-21A
LK-91-035	Embilipitiya PS	333.99	6.359934	80.806374	35	LK-9	LK-91	LK-9148	EC-21	EC-21H
LK-91-036	Imbulpe PS	252.64	6.715183	80.736345	36	LK-9	LK-91	LK-9115	EC-21	EC-21D
LK-91-037	Kalawana PS	382.4	6.46448	80.451221	37	LK-9	LK-91	LK-9133	EC-21	EC-21G
LK-91-038	Kolonna PS	177.85	6.391184	80.678904	38	LK-9	LK-91	LK-9151	EC-21	EC-21H
LK-91-039	Kuruvita PS	250.44	6.786058	80.329691	39	LK-9	LK-91		EC-21	
LK-91-040	Nivithigala PS	239.06	6.602993	80.419972	40	LK-9	LK-91		EC-21	
LK-91-041	Pelmadulla PS	142.4	6.634808	80.511103	41	LK-9	LK-91	LK-9124	EC-21	EC-21C
LK-91-042	Ratnapura PS	295.36	6.732763	80.490139	42	LK-9	LK-91	LK-9112	EC-21	
LK-91-043	Weligepola PS	277.3	6.560933	80.707809	43	LK-9	LK-91		EC-21	EC-21E
LK-91-044	Godakawela PS	152.12	6.498162	80.641823	44	LK-9	LK-91	LK-9142	EC-21	EC-21E
LK-91-045	Kahawatta PS	104.25	6.527983	80.545154	45	LK-9	LK-91	LK-9139	EC-21	EC-21F
LK-92-011	Kegalle MC	7.42	7.251102	80.350997	11	LK-9	LK-92	LK-9212	EC-22	EC-22C
LK-92-031	Aranayaka  PS	120.09	7.167804	80.442178	31	LK-9	LK-92	LK-9209	EC-22	EC-22F
LK-92-032	Dehiovita PS	193.95	6.939454	80.280907	32	LK-9	LK-92	LK-9230	EC-22	
LK-92-033	Deraniyagala PS	222.16	6.907025	80.403181	33	LK-9	LK-92	LK-9233	EC-22	EC-22I
LK-92-034	Galigamuwa PS	124.59	7.216127	80.305524	34	LK-9	LK-92	LK-9215	EC-22	EC-22B
LK-92-035	Kegalle PS	98.83	7.206006	80.369444	35	LK-9	LK-92	LK-9212	EC-22	
LK-92-036	Mawanella PS	120.09	7.230038	80.47224	36	LK-9	LK-92	LK-9206	EC-22	EC-22E
LK-92-037	Rambukkana PS	127.79	7.324762	80.386138	37	LK-9	LK-92	LK-9203	EC-22	EC-22D
LK-92-038	Ruwanwella  PS	140.64	7.064225	80.218789	38	LK-9	LK-92	LK-9221	EC-22	EC-22H
LK-92-039	Warakapola PS	196.98	7.203746	80.231762	39	LK-9	LK-92	LK-9218	EC-22	EC-22A
LK-92-040	Yatiyanthota PS	179.91	7.029854	80.371683	40	LK-9	LK-92	LK-9227	EC-22	EC-22G
LK-92-041	Bulathkohupitiya PS	125.27	7.098344	80.355516	41	LK-9	LK-92	LK-9224	EC-22	
